=======================================================================================
2020
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
2,John Lastinger\john-lastinger-1,85,116,1.4,4,,,,,85,116,1.4,4
3,Barry Young\barry-young-1,69,390,5.7,3,2,20,10.0,0,71,410,5.8,3
4,Chris McCarthy\chris-mccarthy-1,58,322,5.6,0,2,10,5.0,1,60,332,5.5,1
5,Carnie Norris\carnie-norris-1,49,197,4.0,1,1,1,1.0,0,50,198,4.0,1
6,Scott Williams\scott-williams-3,21,68,3.2,0,2,26,13.0,0,23,94,4.1,0
7,Tron Jackson\tron-jackson-1,16,131,8.2,4,,,,,16,131,8.2,4
8,Keith Montgomery\keith-montgomery-1,8,31,3.9,0,,,,,8,31,3.9,0
9,Todd Williams\todd-williams-2,4,15,3.8,0,,,,,4,15,3.8,0
10,Melvin Simmons\melvin-simmons-2,1,3,3.0,0,9,118,13.1,0,10,121,12.1,0
11,Thomas Spangler\thomas-spangler-1,1,-2,-2.0,0,,,,,1,-2,-2.0,0
12,Clarence Kay\clarence-kay-1,,,,,12,175,14.6,2,12,175,14.6,2
13,Kevin Harris\kevin-harris-2,,,,,10,166,16.6,1,10,166,16.6,1
14,Chuck Jones\chuck-jones-1,,,,,8,86,10.8,0,8,86,10.8,0
