===================================================================================================================================
2020
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
42,Ben Cleveland\ben-cleveland-2,1,0,1,0.0,0.0,,,,,,,,,
43,Sean Fogarty\sean-fogarty-1,1,0,1,0.0,0.0,,,,,,,,,
44,Terry Godwin\terry-godwin-1,0,1,1,0.0,0.0,,,,,,,,,
45,DaQuan Hawkins\daquan-hawkins-1,1,0,1,0.0,0.0,,,,,1,,,,
46,Sony Michel\sony-michel-1,1,0,1,0.0,0.0,,,,,,,,,
47,Isaac Nauta\isaac-nauta-1,1,0,1,0.0,0.0,,,,,,,,,
48,Riley Ridley\riley-ridley-1,0,1,1,0.0,0.0,,,,,,,,,
49,Mark Webb\mark-webb-1,0,1,1,0.0,0.0,,,,,,,,,
50,Javon Wims\javon-wims-1,1,0,1,0.0,0.0,,,,,,,,,
51,Justin Young\justin-young-2,1,0,1,1.0,0.0,,,,,,,,,
===================================================================================================================================
2016
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Roquan Smith\roquan-smith-1,52,43,95,5.0,0.0,,,,,1,1,,,2
2,Trenton Thompson\trenton-thompson-1,29,35,64,9.5,5.0,,,,,2,,,,
3,Natrez Patrick\natrez-patrick-1,29,30,59,4.5,1.0,,,,,,,,,
4,Aaron Davis\aaron-davis-8,35,20,55,4.0,1.5,2,0,0.0,0,0,2,,,2
5,Davin Bellamy\davin-bellamy-1,25,26,51,9.0,5.0,,,,,1,,,,
6,Maurice Smith\maurice-smith-4,32,18,50,2.0,1.0,2,34,17.0,1,3,2,,,2
7,Malkom Parrish\malkom-parrish-1,36,13,49,1.0,1.0,2,-5,-2.5,0,8,,,,1
8,Reggie Carter\reggie-carter-5,16,29,45,2.0,1.0,,,,,,,,,1
9,Lorenzo Carter\lorenzo-carter-1,23,21,44,6.0,5.0,,,,,,2,,1,2
10,Julian Rochester\julian-rochester-1,10,26,36,2.0,2.0,,,,,,,,,1
11,Dominick Sanders\dominick-sanders-1,23,11,34,1.5,0.5,3,27,9.0,0,7,2,,,0
12,Deandre Baker\deandre-baker-1,21,10,31,1.0,1.0,2,27,13.5,0,5,1,,,1
13,David Marshall\david-marshall-1,12,14,26,3.5,2.5,,,,,2,,,,1
14,Jonathan Ledbetter\jonathan-ledbetter-1,7,17,24,2.5,1.0,,,,,,,,,
15,John Atkins\john-atkins-1,7,15,22,1.5,0.0,,,,,2,,,,
16,Tyler Clark\tyler-clark-3,7,14,21,1.5,0.5,,,,,,,,,
17,Quincy Mauger\quincy-mauger-1,12,8,20,0.0,0.0,2,7,3.5,0,2,,,,
18,D'Andre Walker\dandre-walker-1,9,10,19,2.5,0.0,,,,,,,,,
19,Chuks Amaechi\chuks-amaechi-1,9,9,18,1.5,1.0,,,,,1,,,,
20,DaQuan Hawkins\daquan-hawkins-1,6,12,18,0.0,0.0,,,,,,,,,
21,Juwuan Briscoe\juwuan-briscoe-1,9,4,13,0.0,0.0,2,18,9.0,0,2,2,,,1
22,Tyrique McGhee\tyrique-mcghee-1,3,6,9,0.0,0.0,,,,,,,,,
23,Mecole Hardman\mecole-hardman-1,1,5,6,0.0,0.0,,,,,,,,,
24,Ryne Rankin\ryne-rankin-1,2,4,6,0.0,0.0,,,,,,,,,
25,Rashad Roundtree\rashad-roundtree-1,3,3,6,0.0,0.0,,,,,1,,,,
26,Justin Young\justin-young-2,2,4,6,1.0,0.0,,,,,,,,,
27,Reggie Wilkerson\reggie-wilkerson-1,5,0,5,0.0,0.0,,,,,,,,,
28,Brendan Douglas\brendan-douglas-1,2,2,4,0.0,0.0,,,,,,,,,
29,Juwan Taylor\juwan-taylor-1,1,3,4,0.0,0.0,,,,,,,,,
30,Jarvis Wilson\jarvis-wilson-2,1,3,4,0.5,0.0,,,,,,,,,
31,Michail Carter\michail-carter-1,0,3,3,0.0,0.0,,,,,,,,,
32,Johnny O'Neal\johnny-oneal-1,2,1,3,0.0,0.0,,,,,,,,,
33,Glenn Welch\glenn-welch-2,2,0,2,0.0,0.0,,,,,,,,,1
34,Rodrigo Blankenship\rodrigo-blankenship-1,1,1,2,0.0,0.0,,,,,,,,,
35,Reggie Davis\reggie-davis-4,1,1,2,0.0,0.0,,,,,,,,,
36,Isaac Nauta\isaac-nauta-1,2,0,2,0.0,0.0,,,,,,,,,
37,Isaiah Wynn\isaiah-wynn-1,2,0,2,0.0,0.0,,,,,,,,,
38,Jeb Blazevich\jeb-blazevich-1,0,1,1,0.0,0.0,,,,,,,,,
39,Trent Frix\trent-frix-1,1,0,1,0.0,0.0,,,,,,,,,
40,Lamont Gaillard\lamont-gaillard-1,1,0,1,0.0,0.0,,,,,,,,,
41,Brian Herrien\brian-herrien-1,0,1,1,0.0,0.0,,,,,,,,,
===================================================================================================================================
2015
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Jake Ganus\jake-ganus-1,43,58,101,5.0,1.0,2,0,0.0,0,0,1,,,0
2,Leonard Floyd\leonard-floyd-1,35,37,72,8.5,4.5,,,,,3,1,96,1,0
3,Tim Kimbrough\tim-kimbrough-1,26,36,62,4.5,1.0,,,,,1,,,,1
4,Jordan Jenkins\jordan-jenkins-2,27,31,58,9.5,4.0,,,,,,,,,2
5,Quincy Mauger\quincy-mauger-1,40,18,58,3.5,0.5,,,,,5,,,,
6,Dominick Sanders\dominick-sanders-1,25,23,48,5.0,1.0,6,205,34.2,1,6,,,,
7,Aaron Davis\aaron-davis-8,30,16,46,3.5,1.0,1,26,26.0,0,3,2,,,0
8,Sterling Bailey\sterling-bailey-1,13,33,46,2.5,1.0,,,,,2,,,,
9,Malkom Parrish\malkom-parrish-1,30,12,42,6.5,1.0,2,27,13.5,0,2,1,,,0
10,Chris Mayes\chris-mayes-1,16,25,41,1.0,0.0,,,,,1,1,,,0
11,Davin Bellamy\davin-bellamy-1,14,19,33,5.5,3.0,,,,,1,1,,,2
12,James Deloach\james-deloach-1,8,17,25,3.5,0.5,,,,,1,1,,,0
13,Johnathan Abram\johnathan-abram-1,11,14,25,1.5,0.0,,,,,,,,,
14,Trenton Thompson\trenton-thompson-1,8,17,25,2.5,0.5,,,,,,,,,
15,Natrez Patrick\natrez-patrick-1,12,10,22,2.5,1.0,,,,,,,,,
16,Rico McGraw\rico-mcgraw-1,15,5,20,0.5,0.0,,,,,4,,,,
17,Roquan Smith\roquan-smith-1,9,11,20,1.5,0.0,,,,,,,,,
18,Lorenzo Carter\lorenzo-carter-1,11,8,19,0.0,0.0,,,,,1,,,,1
19,John Atkins\john-atkins-1,2,10,12,1.0,0.0,,,,,1,,,,
20,Reggie Wilkerson\reggie-wilkerson-1,7,4,11,2.0,0.0,1,0,0.0,0,0,,,,
21,Ryne Rankin\ryne-rankin-1,4,5,9,0.0,0.0,,,,,,,,,
22,D'Andre Walker\dandre-walker-1,7,2,9,0.5,0.5,,,,,,,,,
23,Josh Dawson\josh-dawson-1,1,7,8,0.0,0.0,,,,,,,,,
24,Juwan Taylor\juwan-taylor-1,3,4,7,0.0,0.0,,,,,,,,,
25,Marshall Morgan\marshall-morgan-1,3,3,6,0.0,0.0,,,,,,,,,
26,Rashad Roundtree\rashad-roundtree-1,5,1,6,0.0,0.0,,,,,,,,,
27,Chuks Amaechi\chuks-amaechi-1,2,3,5,0.5,0.5,,,,,,,,,
28,Michael Barnett\michael-barnett-1,0,5,5,0.0,0.0,,,,,,,,,
29,Juwuan Briscoe\juwuan-briscoe-1,4,1,5,0.0,0.0,,,,,2,,,,
30,Reggie Davis\reggie-davis-4,4,1,5,0.0,0.0,,,,,,,,,
31,Jonathan Ledbetter\jonathan-ledbetter-1,2,2,4,0.0,0.0,,,,,,,,,
32,Chauncey Rivers\chauncey-rivers-1,3,1,4,1.0,0.0,,,,,,,,,
33,Devin Bowman\devin-bowman-1,2,1,3,0.0,0.0,,,,,,,,,
34,Kirby Choates\kirby-choates-1,0,3,3,0.0,0.0,,,,,,,,,
35,DaQuan Hawkins\daquan-hawkins-1,1,2,3,0.0,0.0,,,,,,,,,
36,Johnny O'Neal\johnny-oneal-1,1,2,3,0.0,0.0,,,,,,,,,
37,Brice Ramsey\brice-ramsey-1,2,1,3,0.0,0.0,,,,,,,,,
38,Tramel Terry\tramel-terry-1,1,1,2,0.0,0.0,,,,,,,,,1
39,Nathan Theus\nathan-theus-1,1,1,2,0.0,0.0,,,,,,1,,,0
40,Kenneth Towns\kenneth-towns-1,1,1,2,0.0,0.0,,,,,,1,,,0
41,Reggie Carter\reggie-carter-5,0,2,2,0.0,0.0,,,,,,,,,
42,Brendan Douglas\brendan-douglas-1,2,0,2,0.0,0.0,,,,,,,,,
43,Keith Marshall\keith-marshall-1,0,2,2,0.0,0.0,,,,,,,,,
44,Ben Souther\ben-souther-1,2,0,2,0.0,0.0,,,,,,,,,
45,Jarvis Wilson\jarvis-wilson-2,1,1,2,0.0,0.0,,,,,,,,,
46,Malcolm Mitchell\malcolm-mitchell-2,1,0,1,0.0,0.0,,,,,,,,,1
47,Deandre Baker\deandre-baker-1,1,0,1,0.0,0.0,,,,,,,,,
48,Michael Chigbu\michael-chigbu-1,0,1,1,0.0,0.0,,,,,,,,,
49,Nick Moore\nick-moore-4,0,1,1,0.0,0.0,,,,,,,,,
50,Greg Pyke\greg-pyke-1,1,0,1,0.0,0.0,,,,,,,,,
===================================================================================================================================
2014
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Amarlo Herrera\amarlo-herrera-1,44,71,115,10.0,3.0,1,0,0.0,0,1,1,,,1
2,Ramik Wilson\ramik-wilson-1,56,54,110,7.0,2.0,,,,,1,1,,,1
3,Jordan Jenkins\jordan-jenkins-2,32,38,70,9.5,5.0,,,,,1,1,,,2
